2,S5R45A,HPE 44U Manifold Top Feed for NVIDIA GB200 NVL72
2,S5R45A       0D1,Factory Integrated
36,S6C59A,Nvidia GB300 NVL72 by HPE Base Compute Tray - Hybrid
36,S6C59A       0D1,Factory Integrated
4,S6F61A,Nvidia SN2201 ToR Switch
4,S6F61A       0D1,Factory Integrated
8,S6F62A,Power Whip 400V 1.5m
8,S6F62A       0D1,Factory Integrated
1,S5T77A,HPE Rackscale Base System Code
16,S6E21A,Nvidia NVL72 Power Shelf Kit - AC
16,S6E21A       0D1,Factory Integrated
8,S6F64A,Power Whip 400v 3.5m
8,S6F64A       0D1,Factory Integrated
2,S6C60A,GB300 Compute Rack
2,S6C60A       0D1,Factory Integrated
